placeName,descript,latitude,longitude,
Jackson Hole,"Jackson Hole is a famous resort and skiing area. The valley is a home to numerous hotels, facilities for skiing and plenty of other sports, as well as for quite a large airport, the largest in the state. The valley is surrounded by mountainous peaks and offers truly amazing and wonderful views. ",43.582767,-110.821999,
Mojave National Preserve,"Mojave National Preserve is one of the numerous national parks which can be found in Kelso Cima road near the town of Kelso in south eastern California, USA. It covers the area close to 1.5 million acres and it is a wonderful example of a green oasis in the deserted area. Some part of the area is rocky and some is covered with very interesting special flora, with such examples as Joshua Trees, some cacti, and others.",35.141689,-115.510399,
Joshua Tree National Park,"Joshua Tree National Park is a small natural preserve situated in the southernmost part of California. Green parts of the park are beautiful and green year round, and they are very popular with the tourists who love all kinds of outdoor activities like hiking, rock climbing, camping, bird watching, observing skies, etc. Flora and especially the fauna of the park is unique, with the species like the local tree frogs, the roadrunners, green darners, etc.",33.881866,-115.90065,
Buffalo National River,"Buffalo National River is a very small green area which can be found at 170 Ranger Road near the town of St Joe in north western Arkansas. The park stretches near the Buffalo River, a beautiful small river considered one of pollution-free rivers in the state",35.985512,-92.757652,
Hot Springs National Park,"Hot Springs National Park is one of the oldest established national parks in Arkansas. The park was founded and taken under protection of the National Government in 1832 which was approved by the American Congress. The park is also known as one of the smallest in Arkansas and the whole region, with the area slightly exceeding 55 hundred acres.",34.52153,-93.042267,
Kartchner Caverns State Park,"Kartchner Caverns State Park is a small natural preserve with the area of only about 2.5 square miles. The park is dedicated to a number of caverns and caves which were discovered about 45 years ago by a group of explorers. Currently, just two large caverns are opened to visitors, including the Big Room Cavern and the Throne Cavern.",31.837551,-110.347382,
Navajo Nation Reservation,"Navajo Nation Reservation is a large reservation zone which stretches along the areas of New Mexico, Arizona, and Utah.  Its area is close to 27500 square miles and it is the largest area inhabited by indigenous population of the continent, in the amount of about 350,000 people. It is a self-governed territory which handles its economic, educational, social, and other problems by its own.",36.075321,-109.19693,
Sipsey Wilderness,"Sipsey Wilderness is a national park and a preserve situated near Mt Hope in the central Alabama. The only way Sipsey seems to be like wilderness is the absence of roads, so the only way to get around the park is by feet.",34.332035,-87.434799,
Wrangell-St. Elias National Park & Preserve,"Wrangell-St. Elias National Park & Preserve is a large national park situated in the eastern part of Alaska. It is famous primarily with its mountainous areas and the mountain chains like Saint Elias, Wrangell, and others. The total area of the park is close to 13.2 million acres and has a very diverse nature, a variety of animals and birds living there.",61.710445,-142.985687,
Lake Clark National Park and Preserve,"Lake Clark National Park and Preserve is a large coastal park situated near the town of Port Alsworth in southern Alaska. The park is a popular place among tourists who visit it for hiking, skiing, boating, exploring the local glaciers and hills, rafting, kayaing, and other activities.",60.412697,-154.323502,
Katmai National Park and Preserve,"Katmai National Park and Preserve is a large national park which is situated in King Salmon in southwestern Alaska. The park is famous for its glaciers and volcanoes. The most visited landmark of it is the Valley of Ten Thousand Smokes , as well as Mount Katamai and other mounts in the area.",58.597813,-154.693756,
Glacier Bay National Park and Preserve,"Glacier Bay National Park and Preserve is one of the numerous natural parks situated in southern counties of Alaska. It is one of the most popular and most beautiful northern parks of the county, as well as the area protected by UNESCO. The park is huge and has the area close to 3.25 million acres. There are 7 large glaciers in the park, which are amazing bio-systems and examples of Alpine tundra. ",58.665806,-136.900208,
Turtle Mountain,Turtle Mountain is a small natural preserve and a national park situated in the northern part of North Dakota. The park includes forested mountainous areas which are covered with the endless number of small and really tiny lakes.,48.852882,-99.803535,
Odiorne Point State Park,"The park includes some forested areas, some rocky areas, a few nice facilities for sports, a scientific area, and a few great beaches. The park is a great place for hiking, boating, canoeing, biking, fishing, skiing and snowboarding (in winter), as well as picnicking.",43.049023,-70.720192,
Channel Islands National Park,"The total area of the park is close to 100,000 hectares, and despite its quite close location to the coastline of California, the islands are not inhabited permanently. The park was established about 40 years ago, and it is estimated that every year about 350,000 people visit the park. The park includes 5 relatively large and many smaller islands, where not only fauna and flora, but also some historic landmarks like Anacapa Island Lighthouse, etc. can be observed.",33.998028,-119.772949,
Maplewood State Park,"The park is small but surrounded by a large area of hundreds of lakes, large and small. There are a few lakes in the park as well, including Beers Lake, Field Lake, and others. ",46.520966,-95.951576,
Bear Butte State Park,"The park is spread around a small mount which was formed about 200,000 years ago. It is believed that there were plenty of settlements of indigenous Lakota and Cheyenne populations. The park is famous with its large number of buffaloes living there.",44.475296,-103.424309,
Okefenokee National Wildlife Refuge,"It is one of the most popular national parks of the region, with annual number of visitors close to 400,000. There are many lakes and hiking trails in the park, and the climate is special since it is considered to be a semi-tropical zone. There is a wide range of birds can be observed in the park.",30.77323,-82.292732,
Denali National Park and Preserve,"The park has the area close to 6 million acres, and it surrounds the beautiful Denali mountain, the highest peak of Alaska. The park is known with its heights variety, and it is a great recreation center for those who love hiking, camping, and similar kinds of activities.",63.129887,-151.197418,
Acadia National Park,"Acadia National Park is a large national park situated in southern coastal part of Maine. The area includes mountainous parts, woodlands, and ocean shores. The number of wildlife species is not too large, but it is possible to observe some interesting examples of marine life species. ",44.338974,-68.27343,
Topanga State Park,"Topanga State Park is a small natural preserve, situated in the neighborhood of Santa Monica. The area of the park is estimated to be close to 11,000 acres, and it is a very interesting place to visit. It is a great place to explore unique Californian nature, fauna and flora, as well as go in for some outdoor activities like hiking, bird watching, or skeet shooting.",34.093182,-118.587318,
Gates of the Arctic National Park and Preserve,"With the area close to 40,000 square meters, it is considered to be the second largest park in the US. It is located near the Brooks Mountain range, with the large part of the park laying behind the polar circle. The flora of the park is pretty poor, the park is the brightest example of Arctic Tundra.",67.915199,-153.46373,
Kaloko-Honok?hau National Historical Park,Kaloko-Honok?hau National Historical Park is a small natural preserve situated in Kailua-Kona in Hawaii. It is not only natural park but also a cultural heritage and a place where local Hawaiian traditional has been preserved and practiced. The park is the place where Ala Kahakai National Historic Trail is located.,19.678328,-156.020477,
Pedernales Falls State Park,"The park was established less than 50 years ago at the place of a former small ranch. It is a great area for recreation, with wonderful waterfalls and opportunities to go in for fishing, tubing, swimming, hiking, etc.",30.308069,-98.257729,
Whiskeytown National Recreation Area,"Whiskeytown National Recreation Area is a small recreational area near Whiskeytown, CA. It was opened over 60 years ago and is an ideal place for hiking, boating, swimming, sailing, climbing, and plenty of other recreational activities. The park includes 3 units, Whiskeytown Unit, Trinity Unit, and Shasta Unit, marked mainly by lakes and the type of the activities which can be done there. ",40.633495,-122.564247,
Mesa Verde National Park,"Located at Ute Mountain Reservation near famous Four Corners, Mesa Verde National Park is a small national preserve, created by the initiative of Roosevelt. It covers the area close to 52.5 thousand acres and is a home to very well preserved archaeological and natural wonders of the state. The area was inhabited since the Paletlitic epochs, and there are plenty of evidence of the ancient people's life, including their daily life signs (houses, beds, etc.), pieces of their murals and arts, even the whole cliff dwellings, tree houses, etc. ",37.230873,-108.461838,
Arches National Park,"Covering almost 2000 acres, Arches National Park is a natural preserve located in eastern Utah, USA, located near the Colorado river on the Colorado plateau. The park is very famous with its landmarks like rocky formations (The Delicate Arc, The Landscape Arch, The Three Gossips, The Organ, Dark Angel, the Babylon Tower, and others), the signs of ancient civilizations Ute, Paiute, Fermont, etc.",38.733082,-109.592514,
Mount Rainier National Park,"Mount Rainier National Park is a large natural park in central Washington. It was established in the beginning of the 20th century and covers the area close to 370 square miles. There are plenty of trails for hiking leading to local waterfalls, lakes, hunting areas, as well as opportunities for mountain climbing, camping (there are 5 large camping facilities in the park), picnicking, etc.",46.879967,-121.726906,
Kenai Fjords National Park,"Situated on Kenai Peninsula, Kenai Fjords National Park is a large natural preserve located in southern Alaska. The park is very large, with that area close to 670 thousand acres, and it overlooks the coastal parts of the Gulf of Alaska. It includes a large number of natural attractions, including rocky formations, forests, long water valleys resembling ""Fjords"", icy areas, as well as unique fauna and flora. ",60.043777,-149.81636,
Anahuac National Wildlife Refuge,"Anahuac National Wildlife Refuge is a large natural preserve situated near the settlement of Anahuacin southern Texas. The area is quite large, covering about 34 thousand acres of forests, wetlands, highlands and hills. The park overlooks the East Bay and can be reached by Highway 124. It is possible to spend some great time there enjoying fresh air and virgin nature, as well as watching birds (the park was actually established to preserve the habitat of various sea birds).",29.6103,-94.449081,
Bandelier National Monument,"Bandelier National Monument is a 33,000 acres national park situated in central New Mexico. The monument includes beautiful natural canyons and forests, as well as the ruins of the old settlements of the Puebloans. The ancient dwellings dated back over 11,000 years, and most of the archeological sites are well explored and preserved.",35.767288,-106.311607,
Summit Bechtel Reserve,"Summit Bechtel Reserve is a small national park and a large facility for boyscouts.  There are three main campuses, and it is estimated that the preserve can host about 40 thousand campers at the same time.",37.916035,-81.123047,
Yellowstone National Park,"Yellowstone National Park is a large national park in Wyoming, famous with its numerous and scenic hiking trails. The total length of the trails is over 11 hundred miles, with Bannock Trail being one of the oldest and the most popular trails. Tourists and sportsmen who visit the park primarily enjoy very diverse local fauna, with a huge number of specials of birds, rodents, small mammals, etc.",44.427895,-110.588379,
Rothrock State Forest,"Rothrock State Forest is a small national park located near the town of State College in Pennsylvania. The total area of the park is slightly over 20 thousand acres, and it is one of the most visited green zones in the state, with beautiful forest and amazing fresh air.",40.720585,-77.826965,
Great Smoky Mountains National Park,"Located right on the border between Tennessee and North Carolina, Great Smoky Mountains National Park is a large preserve located high in the Great Smoky Mountains. It is in the list of UNISCO World Heritage, it is named among the most visited national parks of the country. ",35.611763,-83.489548,
Zion National Park,"Zion National Park is one of the largest natural preserves in the state of Utah, famous with its excellent trails for hiking, mountain climbing, etc. With the total area exceeding 600 square km, it is a truly unique eco-system known for its red rocky terrain and unique fauna and flora, as well as for a few spectacular canyons like Zion Canyon which is about 15 miles long.",37.317207,-113.022537,
Yosemite National Park,"The total area of the park is exceeding 300 ha, and the park was named after the name of an old indigenous tribe living at the area. Very high rocky formations like Cathedral Peak, forests and small creeks, waterfalls like famous Vernal Fall or Bridalveil Fall, breathtaking fresh air, touchy voices of nature, limitless freedom for a human mind are among the main features of the environment.",37.865101,-119.53833,
Haleakal? National Park,"Haleakal? National Park is a large natural preserve located in the eastern part of Maui island of Hawaii, USA. It covers a very large area of about 33,000 acres, with a great number of natural points of interest like waterfalls, small lakes, wilderness zones, as well as plenty of examples of absolutely unique flora and fauna. ",20.701283,-156.173325,
Malibu Creek State Park,"The park was opened in the middle of 1970s and now it has the area of over 3,320 ha. There are excellent facilities in the park for fishing, rock climbing, hiking, bird observing, picnicking, and so on.",34.105156,-118.731316,
Manti-La Sal National Forest,"Manti-La Sal National Forest is a wonderful and very large national park in Utah, located near the city of Price. The area of the park is close to 1.2 million acres and the park is considered among the best national recreation locations. Famous Skyline Drive, the Dark Canyon Wilderness, highlands of the Abajo Mountains, small lakes and trails are among local landmarks.",39.18705,-111.37989,
Cherry Creek State Park,"The park is an excellent recreation facility for those who like hiking, boating, power-boating, etc. Local fauna is also famous and includes over 40 species of mammals: beavers, coyotes, raccoons, mule deer, etc.",39.639973,-104.831863,
Kissimmee Prairie Preserve State Park,"Kissimmee Prairie Preserve State Park is one of the most famous and visited national parks in Florida, located near the city of Okeechobee. It is an excellent destination for those who enjoy camping and various related outdoor activities",27.612417,-81.053383,
Garden of Gods,Garden of Gods is the most famous attraction of Colorado Springs.  Its high red rock formations are famous around the world and the park is visited by a great number of tourists every year. The park has exclusive unique ecology and is one of the best recreation areas in Colorado.,38.87384,-104.886665,
Petrified Forest National Park,"One of the most famous natural parks in Arizona, Petrified Forest National Park has the area of about 146 square miles covered by beautiful steppes and colorful planes. It is located near the historic part of the US Route 66. The park is visited by over 600,000 tourists and visitors.",34.909988,-109.806793,
Fort Berthold Indian Reservation,"Fort Berthold Indian Reservation is a large natural preserve and a special area for the members of indigenous population groups, who live in North Dakota. With the area slightly below 1 million acres, this is the largest reservation in the Untied States, situated on a beautiful natural setting near Missouri River. ",47.68388,-102.354126,
Chattahoochee National Forest,"One of the greatest and the most visited national parks in Georgia, Chattahoochee National Forest is located in the northern part of the state, near Suches. It is a very large national park which actually comprises two natural forests. It is famous with beautiful waterfalls and numerous excellent hiking routes.",34.765972,-84.143517,
Little Sandy National Wildlife Refuge,"Little Sandy National Wildlife Refuge is a famous national pakr located near the town of Lindale, Texas. Fresh air, amazing tall trees, fresh-water lakes, excellent facilities for hunting, boating, fishing, hiking, etc. are at the services for those who decide to spend a great day off in this natural park.",32.590797,-95.273666,
Siuslaw National Forest,"Siuslaw National Forest is one of the national parks located at the Pacific shores near Tidewater, Oregon. It occupies pretty large area covering some amazing forests and some sand dunes right near the coast. ",44.358715,-123.829994,
Kings Canyon National Park,"Kings Canyon National Park is a large natural preserve and a natural park near Fresno, occupying some area of the Sierra Nevada, California. It was established in the end of the 19th century and is a part of a chain of national parks located in this region.",36.887856,-118.555145,
Ruffner Mountain Nature Center,"It is famous with numerous hiking trails which are estimated to be about 12 km long. It is a natural preserve famous as a natural habitat for numerous exotic animals including turtles, raptors, snakes, etc.",33.55899,-86.707016,
Kings Mountain State Park,"Located right on the north of the state, this park includes plenty of hilly areas with amazing flora and fauna, a few amazing natural lakes, and the Living History Farm, a museum recreating a small farm of the 19th century. ",35.130459,-81.345444,
Honolulu Watershed Forest Preserve,"Honolulu Watershed Forest Preserve is one of the most known national parks located right to the northeast of Honolulu, Hawaii. It is a part of highlands covered with the area of about 600 square miles of unique natural forest. ",21.363251,-157.781265,
Oleta River State Park,"Oleta River State Park is a wonderful green zone located in North Miami, Florida. The park is primarily famous as a sanctuary for Australian pine-trees growing in plenty around the area",25.921614,-80.144402,
Grant Park,"Grant Park is a large coastal park and one of the most known attractions of Chicago, Illinois. It is situated in the business center of Chicago, and there are some points of interest of the park, including the Museum Campus, Buckingham Fountain, Millennium Park, the Art Institute of Chicago, and so on. The local people call the park as ""Chicago's front yard"".",41.876465,-87.621887,
Wisconsin Interstate State Park,"The total area of the park is about 670 acres, and the park is a beautiful natural forest with excellent facilities for picnics, hiking, cycling, and other outdoor activities.",45.398449,-92.645126,
Bridge Creek Wildlife Area,"Bridge Creek Wildlife Area is a small natural preserve located near the town of Ukiah, Oregon, west of the United States. It was founded about 40 years ago and is famous as a shelter for elks.",45.043449,-118.949318,
Willamette National Forest,"Willamette National Forest is a famous national park located near Blue River, Oregon, West USA. The forest is about 1,750,000 acres of natural forest, amazing clear air, wonderful nature, hills, lakes and creeks, and so on. It is interesting that there is a small wilderness area in the park, with very old drying trees and plants.",44.060471,-122.091736,
Golden Gate Canyon State Park,"One of the most famous state parks in Colorado, Golden Gate Canyon State Park is located close to Golden: it can be reached from the town by Interstate 70 and highway 119. The park was established over 55 years ago and is one of the most favorite places to spend a day off for those residents of Denver who like active lifestyle. ",39.814339,-105.395622,
William F Hayden Green Mountain Park,"William F Hayden Green Mountain Park is a wonderful natural preserve located on Green Mountain near Lakewood, Colorado. The park cover the area of over 2,400 acres and its amazing atmosphere attracts thousands of tourists who enjoy spending time outdoors exploring the wonders of local nature. Located on the high mountain with elevation up to 6,800 feet, the park offers absolutely outstanding views to the neighboring territory, along with cool clean air and amazing ambience.",39.702827,-105.175636,
Cades Cove,"Cades Cove is a small wonderful natural area in the Great Smoky Mountains National Park, its part located in the state of Tennessee, USA. The area of Cades Cove was inhabited for thousands of years, and it is one of the most visited parts of the national park. ",35.59367,-83.824997,
Lantz Farm and Nature Preserve,"There are amazing species of flora and fauna can be observed in the farm, exotic plants, fungi, animals, etc. There are special programs for kids and students, for specialists and amateurs, for those who like spending time outdoors discovering new interesting places.",39.516754,-80.649948,
Shenandoah National Park,"Shenandoah National Park is one of the largest and the most famous national parks in the United States. It is located in Virginia and covers an area of the Blue Ridge Mountains. It covers about 200,000 of area, which includes famous attractions: numerous hiking trails, camping facilities, natural waterfalls, as well as Skyline Drive.",38.700516,-78.292694,
El Dorado State Park,"With over 4,000 acres of the area, it is the largest park of the state. It is located near El Dorado Reservoir and can be a great vacation spot for all kinds of tourists.",37.866047,-96.756935,
National Bison Range,National Bison Range is a huge natural preserve and wildlife refugee area in Montana for providing a natural habitat for the American bison. It is one of the oldest natural preserves of the country which now is a home for about 500 bison individuals. ,47.342545,-114.209747,
Castlewood Canyon State Park,"Castlewood Canyon State Park is a wonderful national park in Franktown, the state of Colorado, USA. It is an amazing natural reserve and a dream spot for true natural lovers. Despite absence of camping facilities, Castlewood Canyon State Park offers amazing opportunities for hiking and walking in a natural setting.",39.319424,-104.730606,
Everglades National Park,"Known as one of the largest wilderness areas in the United States, Everglades National Park is situated in the southernmost part of Florida, about 55-60 miles southeast of Miami city. Some part of the protected area is covered with the tropical forest, but large parts of the park are dried out. Local fauna is diverse and unique, with some endangered species like West Indian manatee or American crocodile.",25.286615,-80.898651,
Redwood National Park,"It is situated in north California and is vary popular among researchers and true nature lovers because of a huge redwood forest located in the central part of the park. Old tall trees create an amazing atmosphere in the park, and since the park is located on the ocean shores, its ecosystem includes some flora and fauna of sea area, including some rare sea animals like water lions, etc.",41.213181,-124.004631,
